Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
65,"King, Desmond",LAC,DB,37.4,13.2,1.9,2.0,0.0,0.8,0.7,0.2,113.0,357.0,49.4
66,"Hargreaves, Vernon",HOU,DB,39.2,5.7,0.6,5.7,0.0,0.3,0.3,0.0,0.0,0.0,49.0
67,"Bunting, Sean",TBB,DB,34.3,9.3,0.6,5.2,1.4,0.9,0.5,0.2,0.0,0.0,48.9
68,"Alford, Robert",ARI,DB,40.0,8.7,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,48.9
69,"Hill, Troy",LAR,DB,34.4,8.7,0.1,6.7,1.3,0.2,0.2,0.0,0.0,0.0,48.6
70,"Williams, Greedy",CLE,DB,38.6,11.7,0.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,48.4
71,"Hayward, Casey",LAC,DB,35.3,10.7,0.2,5.1,1.2,0.0,0.0,0.0,11.0,44.0,48.4
72,"Gladney, Jeff",MIN,DB,35.9,9.0,0.3,4.5,0.7,0.7,0.7,0.0,0.0,0.0,48.0
73,"Henderson, CJ",JAC,DB,38.7,6.8,0.4,4.5,0.1,0.8,0.0,0.0,0.0,0.0,48.0
74,"Maulet, Art",NYJ,DB,37.2,13.3,0.0,3.4,0.2,0.0,0.0,0.0,0.0,0.0,47.6
75,"Douglas, Rasul",CAR,DB,28.9,12.3,0.0,10.5,0.9,0.0,0.0,0.0,0.0,0.0,47.3
76,"Williams, K'Waun",SFO,DB,33.1,8.8,1.3,1.6,1.6,2.9,0.0,0.0,0.0,0.0,46.7
77,"Lawson, Nevin",LVR,DB,37.0,11.7,0.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0,46.5
78,"Harris, Chris",LAC,DB,36.2,10.1,0.0,4.7,0.3,0.0,0.0,0.2,20.0,0.0,46.4
79,"Norman, Josh",BUF,DB,32.1,9.7,0.6,4.3,1.9,0.3,0.3,0.0,0.0,0.0,46.2
80,"Ballentine, Corey",NYG,DB,33.9,10.7,0.6,6.1,0.0,0.0,0.0,0.0,0.0,26.0,46.0
81,"Williams, P.J.",NOS,DB,36.3,7.1,0.7,4.2,0.7,0.0,0.0,0.0,0.0,0.0,46.0
82,"Lewis, Jourdan",DAL,DB,29.3,10.4,2.2,6.3,1.4,0.0,0.0,0.2,0.0,41.0,45.8
83,"Wiltz, Jomal",MIA,DB,33.0,14.0,0.0,5.3,0.2,0.0,0.0,0.0,0.0,0.0,45.7
84,"Hayden, D.J.",JAC,DB,32.2,7.6,1.2,5.7,0.0,1.0,0.9,0.0,0.0,0.0,44.9
85,"Sheffield, Kendall",ATL,DB,31.0,17.8,0.0,3.5,0.3,0.0,0.0,0.0,0.0,67.0,43.9
86,"Moreland, Jimmy",WAS,DB,33.6,11.9,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,42.9
87,"Igbinoghene, Noah",MIA,DB,26.9,14.7,0.0,4.6,1.3,0.0,0.0,0.0,0.0,0.0,41.5
88,"Rhodes, Xavier",IND,DB,34.4,7.7,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4
89,"Smith, Jimmy",BAL,DB,26.0,1.8,0.9,8.2,2.7,0.0,0.0,0.0,0.0,0.0,41.4
90,"Long, David",LAR,DB,28.9,11.6,0.0,6.3,0.0,0.4,0.0,0.0,0.0,10.0,41.3
91,"Jones, Byron",MIA,DB,31.7,11.3,0.0,3.2,0.3,0.0,0.0,0.0,0.0,0.0,41.1
92,"Robey, Nickell",PHI,DB,30.0,6.4,0.3,6.2,0.0,1.1,0.0,0.0,0.0,0.0,40.8
93,"Fulton, Kristian",TEN,DB,31.5,12.4,0.9,1.8,0.1,0.0,0.0,0.0,22.0,0.0,40.5
94,"LeBlanc, Cre'von",PHI,DB,25.3,5.7,0.0,8.8,1.4,0.0,0.0,0.0,0.0,0.0,39.6
95,"Young, Tavon",BAL,DB,27.8,8.2,0.0,6.4,0.3,0.0,0.0,0.2,14.0,0.0,38.9
96,"Dean, Jamel",TBB,DB,15.1,2.6,0.0,17.3,2.5,0.0,0.0,0.0,0.0,0.0,38.6
97,"Carrie, Travis",IND,DB,27.8,11.1,1.0,2.1,0.0,1.1,0.7,0.0,0.0,0.0,38.3
98,"Terrell, A.J.",ATL,DB,29.5,8.4,0.0,3.8,0.0,0.7,0.0,0.0,0.0,7.0,38.2
99,"Skrine, Buster",CHI,DB,29.8,5.7,0.0,2.9,0.0,2.2,0.0,0.0,0.0,0.0,37.8
100,"Joseph, Johnathan",TEN,DB,25.5,5.5,0.0,7.5,0.9,0.0,0.0,0.0,0.0,0.0,37.6
101,"Toliver, Kevin",DEN,DB,30.8,3.7,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,36.9
102,"Johnson, Jaylon",CHI,DB,30.2,6.2,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,36.2
103,"Austin, Blessuan",NYJ,DB,26.0,10.7,0.0,4.3,0.0,0.4,0.0,0.0,0.0,0.0,36.0
104,"Elder, Corn",CAR,DB,25.7,10.3,0.4,4.2,0.2,0.0,0.0,0.0,0.0,0.0,35.9
105,"Alexander, Mackensie",CIN,DB,24.3,6.3,0.2,5.4,1.1,0.1,0.1,0.0,-0.6,53.0,35.6
106,"Johnson, Lonnie",HOU,DB,26.8,5.3,0.1,3.8,0.0,0.2,0.0,0.0,0.0,0.0,33.6
107,"Jackson, Josh",GBP,DB,24.7,4.4,0.0,5.7,0.3,0.0,0.0,0.2,0.0,55.0,33.3
108,"Trufant, Desmond",DET,DB,19.3,9.3,0.0,4.9,2.2,0.0,0.0,0.0,-0.7,16.0,33.3
109,"Verrett, Jason",SFO,DB,23.9,8.5,0.0,2.3,0.7,0.4,0.4,0.0,0.0,0.0,32.7
110,"Jackson, William",CIN,DB,22.3,9.9,0.0,3.3,0.9,0.0,0.0,0.0,-0.1,61.0,32.4
111,"Sullivan, Chandon",GBP,DB,23.4,1.3,0.0,5.3,1.0,0.3,0.0,0.0,0.0,50.0,31.6
112,"Johnson, Kevin",CLE,DB,22.2,9.7,0.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,31.3
113,"Stroman, Greg",WAS,DB,24.5,2.9,0.0,1.7,0.3,0.3,0.0,0.0,-1.5,0.0,28.5
114,"Sims, LeShaun",CIN,DB,18.9,5.7,0.0,4.4,0.7,0.1,0.0,0.0,7.0,52.0,27.7
115,"Facyson, Brandon",LAC,DB,20.3,9.3,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,26.0
116,"Dennard, Darqueze",ATL,DB,17.5,11.4,0.0,2.7,0.0,0.0,0.0,0.0,0.0,19.0,25.9
117,"Fenton, Rashad",KCC,DB,11.9,4.4,0.3,3.8,1.2,1.2,0.0,0.0,0.0,0.0,21.8
118,"Worley, Daryl",DAL,DB,17.3,1.7,0.0,2.7,0.4,0.0,0.0,0.0,0.0,0.0,21.6
119,"Oruwariye, Amani",DET,DB,15.5,1.3,0.0,1.8,1.6,0.0,0.0,0.0,0.0,0.0,21.1
120,"Wreh-Wilson, Blidi",ATL,DB,13.6,4.3,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,21.1
121,"Williams, Darious",LAR,DB,12.5,1.4,0.0,3.6,1.8,0.0,0.0,0.0,0.0,0.0,20.4
122,"Smith, Tye",TEN,DB,15.8,6.1,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,20.4
123,"Mitchell, Terrance",CLE,DB,14.4,2.9,0.0,2.7,0.9,0.0,0.0,0.0,0.0,0.0,20.4
124,"Hill, Holton",MIN,DB,18.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9
125,"Harris, Davontae",DEN,DB,14.6,3.3,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0
126,"Phillips, Darius",CIN,DB,7.3,0.9,0.0,5.1,2.2,0.0,0.0,0.0,7.0,292.0,17.3
127,"Sutton, Cameron",PIT,DB,11.2,3.1,1.0,2.7,0.2,0.0,0.0,0.0,8.0,0.0,16.8
128,"Burns, Artie",CHI,DB,12.3,1.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,14.1
129,"Robinson, Patrick",NOS,DB,10.0,2.4,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7
130,"McManis, Sherrick",CHI,DB,7.7,1.1,0.0,3.4,0.0,0.9,0.0,0.0,0.0,0.0,12.6
131,"Averett, Anthony",BAL,DB,10.8,1.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,11.7
132,"Johnson, Danny",WAS,DB,8.9,1.5,0.0,1.8,0.0,0.0,0.0,0.0,0.0,293.0,11.4
133,"Diggs, Trevon",DAL,DB,5.3,4.6,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,9.1
134,"Layne, Justin",PIT,DB,4.6,3.0,0.0,0.9,0.2,0.4,0.0,0.0,0.0,0.0,7.8
135,"Dawson, Duke",DEN,DB,5.3,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5
136,"Roberts, Darryl",DET,DB,5.0,0.5,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,6.1
137,"Webster, Ken",SFO,DB,4.7,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.6
138,"McRae, Tony",DET,DB,4.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2
139,"Hamilton, Antonio",KCC,DB,2.7,1.5,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,4.7
140,"Smith, Ryan",TBB,DB,3.0,1.1,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,4.4
141,"Darby, Ronald",WAS,DB,3.2,0.3,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,4.4
142,"Crossen, Keion",HOU,DB,3.6,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.3
143,"Kalu, Joshua",TEN,DB,3.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0
144,"Amadi, Ugo",SEA,DB,2.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
145,"Lewis, Ryan",NYG,DB,2.9,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.7
146,"James, Craig",PHI,DB,2.6,0.2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.6
147,"Boyd, Kris",MIN,DB,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
148,"Williams, Joejuan",NEP,DB,1.9,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5
149,"Brooks, Nate",MIA,DB,2.0,0.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0
150,"Thorpe, Neiko",SEA,DB,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
151,"Stewart, M.J.",CLE,DB,1.7,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1
152,"Williams, Brandon",ARI,DB,1.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.9
153,"Moore, Tarvarius",SFO,DB,0.0,0.0,0.0,1.3,0.2,0.0,0.0,0.0,0.0,0.0,1.7
154,"Miller, Jordan",ATL,DB,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
155,"Mabin, Greg",CIN,DB,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
156,"Gaines, Phillip",HOU,DB,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7
157,"Bethel, Justin",NEP,DB,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
158,"Nixon, Keisean",LVR,DB,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6
159,"Wilson, Quincy",NYJ,DB,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
160,"Hayes, Tae",MIA,DB,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
161,"Brown, Tony",CIN,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
162,"Hardee, Justin",NOS,DB,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
163,"Wilkins, Mazzi",TBB,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
164,"Watson, Brandon",JAC,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
165,"Luke, Cole",CAR,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
166,"Crawley, Ken",NOS,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
167,"Davis, Jalen",ARI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Virgin, Dee",DET,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,"Smith, Tremon",IND,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,36.0,0.0
170,"Deayon, Donte",LAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"Goodwin, C.J.",DAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,"Bademosi, Johnson",NOS,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

